Country,Powerplant Name,gppd_idnr,Capacity (MW),Latitude,Longitude,Primary Fuel,Owner,Source
Angola,Cazenga,WRI1023005,132.0,-8.8383,13.2344,Gas,,African Development Bank Group
Angola,Huambo,WRI1023006,16.26,-12.76,15.75,Oil,,African Development Bank Group
Angola,Lobito,WRI1023007,20.0,-12.37,13.57,Gas,,African Development Bank Group
Angola,Luanda Diesel,WRI1023008,58.0,-8.8383,13.2344,Oil,,African Development Bank Group
Angola,Luanda Refinery,WRI1023009,18.5,-8.8383,13.2344,Oil,,African Development Bank Group
Angola,Malongo,WRI1023010,10.0,-5.55,12.2,Oil,,African Development Bank Group
Angola,Matala,WRI1023011,40.0,-14.7333,15.0333,Hydro,,African Development Bank Group
Angola,Namibe,WRI1023012,11.68,-15.1961,12.1522,Gas,,African Development Bank Group
Angola,Rio Luachimo,WRI1023013,16.0,-7.3,20.85,Hydro,,African Development Bank Group
Angola,Xitoto,WRI1023014,11.34,-15.3333,15.0,Oil,,African Development Bank Group
Antarctica,McMurdo Station Generator,WRI1023843,6.6,-77.847,166.6605,Oil,,Antarctica Australia
Antarctica,Ross Island,WRI1022458,1.0,-77.8428,166.7271,Wind,Meridian Energy,Meridian Energy
Argentina,AGUA DEL CAJON (AUTOGENERADOR DEL MEM),ARG0000231,479.2,-38.9368,-68.3556,Other,CAPEX SA,Ministerio de Energía y Minería
Argentina,AGUA DEL CAJON (GENERADOR DEL MEM),ARG0000232,192.0,-38.9368,-68.3556,Gas,CAPEX SA,Ministerio de Energía y Minería
Argentina,AGUA DEL TORO,ARG0000210,130.0,-34.5792,-68.9892,Hydro,HIDISA,Ministerio de Energía y Minería
Argentina,ALICURA,ARG0000230,1050.0,-40.58,-70.7489,Hydro,AES ARGENTINA GENERACION S.A.,Ministerio de Energía y Minería
Argentina,ALMIRANTE BROWN,ARG0000156,25.0,-34.8386,-58.4033,Oil,C.T. ALMIRANTE BROWN SA,Ministerio de Energía y Minería
Argentina,ALTO VALLE,ARG0000235,97.5,-38.9524,-68.0218,Gas,CT ALTO VALLE SA,Ministerio de Energía y Minería
Argentina,ALUMINE,ARG0000242,1.904,-39.2145,-70.9157,Oil,EPEN,Ministerio de Energía y Minería
Argentina,ALVAREZ CONDARCO,ARG0000194,50.7,-33.0452,-69.0516,Hydro,CEMPPSA - HIDROCUYO SA,Ministerio de Energía y Minería
Argentina,ARROYITO,ARG0000254,128.0,-39.1009,-68.5982,Hydro,H. EL CHOCON SA,Ministerio de Energía y Minería
Argentina,ATUCHA I,ARG0000029,370.0,-33.967,-59.2059,Nuclear,NASA,Ministerio de Energía y Minería
Argentina,ATUCHA II,ARG0000030,745.0,-33.9674,-59.2045,Nuclear,NASA,Ministerio de Energía y Minería
Argentina,BANDERA,ARG0000328,31.0,-23.8219,-64.7847,Oil,ENARSA,Ministerio de Energía y Minería
Argentina,BARILOCHE (PUERTO  MORENO),ARG0000266,5.736,-41.1167,-71.4167,Oil,COOPERATIVA DE ELECTRICIDAD BARILOCHE LTDA,Ministerio de Energía y Minería
Argentina,BENJAMIN REOLIN,ARG0000085,38.4,-32.1883,-64.3233,Hydro,EPEC,Ministerio de Energía y Minería
Argentina,BERNARDO  DE IRIGOYEN,ARG0000220,2.096,-26.2545,-53.6469,Oil,EMSA,Ministerio de Energía y Minería
Argentina,C.T. RUFINO,ARG0000310,31.9,-34.2605,-62.7107,Oil,ENARSA,Ministerio de Energía y Minería
Argentina,C.T. SAN VICENTE,ARG0000159,27.6,-35.0241,-58.4237,Oil,ENARSA,Ministerio de Energía y Minería
Argentina,CAA CATI,ARG0000116,1.415,-27.7534,-57.6205,Oil,DPEC,Ministerio de Energía y Minería
Argentina,CABRA CORRAL,ARG0000275,102.0,-25.2712,-65.3298,Hydro,AES ARGENTINA GENERACION S.A.,Ministerio de Energía y Minería
Argentina,CACHEUTA (NUEVA),ARG0000195,120.0,-33.0291,-69.1109,Hydro,CEMPPSA - HIDROCUYO SA,Ministerio de Energía y Minería
Argentina,CACHI,ARG0000277,1.07,-25.1089,-66.2106,Oil,AES ARGENTINA GENERACION S.A.,Ministerio de Energía y Minería
Argentina,CAFAYATE,ARG0000278,4.182,-26.0715,-65.9876,Oil,AES ARGENTINA GENERACION S.A.,Ministerio de Energía y Minería
Argentina,CAPITAL CATAMARCA - PREDIO CHOYA,ARG0000048,5.728,-28.4537,-65.7841,Oil,ENDESA COSTANERA,Ministerio de Energía y Minería
Argentina,CAPITAL CATAMARCA - PREDIO EX CARCEL,ARG0000049,7.075,-28.4773,-65.7872,Oil,ENDESA COSTANERA,Ministerio de Energía y Minería
Argentina,CAPITAL CATAMARCA - PREDIO RIPIERA,ARG0000050,4.675,-28.4684,-65.7797,Oil,ENDESA COSTANERA,Ministerio de Energía y Minería
Argentina,CASA DE PIEDRA,ARG0000183,60.0,-38.2143,-67.1908,Hydro,ENTE CASA DE PIEDRA,Ministerio de Energía y Minería
Argentina,CASSAFFOUSTH,ARG0000086,17.28,-31.3992,-64.2006,Hydro,EPEC,Ministerio de Energía y Minería
Argentina,CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,ARG0000031,620.0,-38.7872,-62.2536,Coal,PAMPA ENERGIA,Ministerio de Energía y Minería
Argentina,CENTRAL LOMA DE LA LATA SA,ARG0000259,540.0,-38.5127,-68.6048,Gas,PAMPA ENERGIA,Ministerio de Energía y Minería
Argentina,CENTRAL PARQUE INDUSTRIAL LA BANDA,ARG0000319,11.228,-38.062,-67.9463,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CENTRAL T.GENELBA,ARG0000165,673.6,-34.9027,-58.7334,Gas,PETROBRAS ENERGIA,Ministerio de Energía y Minería
Argentina,CENTRAL T.GENELBA PLUS,ARG0000166,164.55,-34.9027,-58.7334,Gas,PETROBRAS ENERGIA,Ministerio de Energía y Minería
Argentina,CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),ARG0000311,280.0,-31.7112,-60.7811,Gas,ENARSA,Ministerio de Energía y Minería
Argentina,CENTRAL TERMICA DE CICLO COMBINADO SALTA,ARG0000274,643.0,-24.7456,-65.0513,Gas,AES - TERMOANDES SA,Ministerio de Energía y Minería
Argentina,CENTRAL TERMICA GÜEMES SA,ARG0000287,361.0,-24.6894,-65.0425,Coal,PAMPA ENERGIA,Ministerio de Energía y Minería
Argentina,CENTRAL TERMICA LA BANDA,ARG0000330,32.0,-27.7528,-64.2655,Gas,GENERACION LA BANDA S.A. (GRUPO ALBANESI ),Ministerio de Energía y Minería
Argentina,CENTRAL TERMICA PIQUIRENDA SA,ARG0000284,30.44,-22.3497,-63.7664,Oil,EMDERSA GENERACION SALTA SA - PAMPA ENERGIA,Ministerio de Energía y Minería
Argentina,CENTRAL TERMICA REMEDIOS DE ESCALADA,ARG0000155,25.0,-34.7208,-58.3881,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energía y Minería
Argentina,CENTRAL TERMOELECTRICA GUILLERMO BROWN,ARG0000042,524.0,-34.6268,-58.5438,Gas,TERMOELECTRICA GUILLERMO BROWN,Ministerio de Energía y Minería
Argentina,CENTRAL TERMOELECTRICA MANUEL BELGRANO,ARG0000043,868.2,-24.6894,-65.0425,Gas,TERMOELECTRICA MANUEL BELGRANO SA (TMB),Ministerio de Energía y Minería
Argentina,CENTRAL TERMOELECTRICA TIMBUES,ARG0000307,865.14,-32.5778,-60.791,Gas,CENTRAL TERMOELECTRICA JOSE DE SAN MARTIN (TSM),Ministerio de Energía y Minería
Argentina,CH LOS CARACOLES,ARG0000296,121.4,-31.5192,-68.9814,Hydro,EPSE - ENERGIA PROVINCIAL SOCIEDAD DEL ESTADO,Ministerio de Energía y Minería
Argentina,CHILECITO,ARG0000185,5.0,-29.1578,-67.5069,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CHIMBERA 1,ARG0000295,2.0,-31.9881,-68.5402,Solar,ENARSA,Ministerio de Energía y Minería
Argentina,CIPOLLETTI,ARG0000267,5.78,-38.9121,-67.9427,Hydro,DPA RIO NEGRO,Ministerio de Energía y Minería
Argentina,COMANDANTE ANDRESITO,ARG0000221,2.372,-25.6669,-54.0419,Oil,EMSA,Ministerio de Energía y Minería
Argentina,COMODORO RIVADAVIA,ARG0000072,141.02,-25.9913,-54.6278,Gas,CT PATAGONICAS SA,Ministerio de Energía y Minería
Argentina,COMODORO RIVADAVIA - ANTONIO MORAN,ARG0000067,16.56,-45.8467,-67.4964,Wind,COOPERATIVA,Ministerio de Energía y Minería
Argentina,CORRIENTES,ARG0000117,1.4,-27.4708,-58.8042,Oil,DPEC,Ministerio de Energía y Minería
Argentina,COSTANERA,ARG0000046,1982.2,-34.626,-58.3393,Coal,ENDESA COSTANERA,Ministerio de Energía y Minería
Argentina,CRUZ DE PIEDRA,ARG0000197,17.94,-33.0349,-68.7971,Gas,CT MENDOZA SA,Ministerio de Energía y Minería
Argentina,CRUZ DEL EJE,ARG0000087,5.052,-30.7636,-64.7538,Oil,EPEC,Ministerio de Energía y Minería
Argentina,CT 13 DE JULIO,ARG0000110,26.0,-32.1613,-64.1537,Gas,GECOR  (GENERADORA CORDOBA SA),Ministerio de Energía y Minería
Argentina,CT ALEM,ARG0000217,15.0,-43.0907,-65.2298,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energía y Minería
Argentina,CT ALUMINE,ARG0000256,6.3,-38.8706,-70.5753,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT ARISTOBULO DEL VALLE,ARG0000229,15.0,-27.0922,-54.8625,Oil,SOENERGY ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT ARRECIFES,ARG0000003,20.0,-34.0414,-60.1297,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energía y Minería
Argentina,CT AÑATUYA,ARG0000333,19.2,-28.4431,-62.8569,Oil,SULLAIR ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT AÑATUYA II,ARG0000334,11.5,-28.4431,-62.8569,Oil,SULLAIR ARGENTINA SA,Ministerio de Energía y Minería
